income,loan_amount,credit_score,employment_years,existing_debt,loan_term
143834,26520,311,17,47221,60
134225,13512,448,18,30013,36
71576,72506,640,7,24729,12
26016,28624,520,2,25582,48
73925,13567,770,3,46163,12
49466,49569,845,7,20143,36
135627,20048,560,16,30954,36
124518,56047,804,26,18889,12
102371,50765,818,1,10442,12
54855,32696,704,25,26249,24
38545,76520,448,12,28230,24
36093,24250,840,24,10704,12
136854,17588,348,14,26616,24
127756,46844,725,19,22335,48
46834,70441,563,10,15950,60
74689,36987,407,24,49748,60
77736,57579,435,17,25380,24
128481,7983,649,9,40142,60
38403,39020,365,2,44571,60
62157,76315,394,17,34039,60
118045,71435,561,6,8566,48
130983,34975,468,21,47963,12
79268,69323,673,21,16199,60
136276,18629,646,20,21133,48
125793,51600,744,14,33665,36
114084,47534,582,23,16767,36
97789,29951,842,14,27374,48
115982,9324,541,6,26113,12
113461,31431,850,17,45406,12
148633,6591,343,11,36284,60
100353,56756,567,18,10973,48
53693,41187,522,27,24917,48
139548,34629,437,11,49810,12
82043,47229,383,6,3805,12
148007,66396,532,5,19238,12
35965,39529,325,10,44367,24
143015,45809,338,18,1200,24
91040,67768,849,22,29877,24
139238,15954,808,30,11254,36
87003,59917,479,30,28890,60
75343,5526,725,1,30926,36
111027,8020,680,27,45913,60
126279,27180,421,14,48516,24
47662,11168,540,11,37564,48
122888,36419,819,10,13261,36
51962,10109,419,29,10776,60
65397,23777,749,27,23749,60
61395,30683,461,19,45148,24
90726,36653,587,3,46893,24
137235,5235,471,30,25027,48
46976,10951,586,14,38709,24
135226,71262,683,3,3306,36
30600,28236,849,16,41080,36
45150,18507,681,14,47063,36
133066,8812,309,18,33767,36
99065,15478,599,8,19873,24
122203,38756,500,15,38437,48
34348,43158,506,22,19212,36
92969,58932,515,3,42633,60
41023,15916,497,30,37044,24
120435,42573,549,8,49683,36
44087,25049,681,19,24519,36
94449,26754,367,23,28047,24
33792,11941,444,1,28884,36
93866,75326,662,12,42570,36
74377,46874,560,23,7296,24
60547,53364,412,25,31085,60
25854,72779,341,10,34510,48
107948,61138,359,24,32298,24
27811,60176,689,27,5285,12
46918,78509,400,1,43764,60
30713,54153,509,19,25500,60
104909,11150,735,7,28927,48
54124,50028,527,29,2382,24
148684,65004,440,2,38055,36
101429,60337,772,2,47086,24
109791,55677,813,8,46881,60
135268,52926,666,29,16673,60
32357,18281,546,0,33998,36
71843,41368,423,5,22520,60
89925,39816,575,24,38213,12
66555,28821,694,29,3748,12
60247,39636,818,6,26345,24
149243,57329,368,16,47135,36
112939,54376,758,14,40928,48
71175,32788,377,9,43954,24
77733,61819,495,2,1518,12
49504,5661,643,22,11413,48
118468,39801,707,7,10531,36
148855,47944,607,19,19624,60
115735,75507,362,7,5039,60
71214,77258,804,27,5668,24
62080,11154,521,28,38163,12
145151,10126,672,1,37055,24
148133,38536,320,8,23624,12
103859,7920,828,26,23559,12
95467,25103,765,23,42137,60
81886,24758,657,2,25711,48
38500,78972,725,23,4994,48
73136,79318,441,18,29179,36
64081,73760,574,1,36607,60
92270,52523,681,8,3676,12
146958,23017,503,22,47068,24
36534,44749,384,4,7263,48
119841,71081,346,3,10738,36
63304,38742,453,22,11705,24
118008,76719,735,24,16999,24
38986,43518,644,12,4946,24
107873,44110,846,26,35618,48
119179,53770,499,9,35585,36
69425,62932,519,24,10744,36
51641,56226,829,15,11087,36
87292,49738,522,4,25159,24
71427,52908,631,12,22250,60
145885,7482,463,23,869,36
145379,32935,337,1,37004,36
38284,38933,487,15,2763,24
98847,79910,613,24,36413,48
118179,19596,519,24,31781,48
63360,53302,491,12,24170,60
45309,47240,593,23,24685,12
142845,44809,727,11,887,24
91235,66268,423,26,6296,48
71732,20251,382,15,48483,48
139585,70082,606,26,10625,36
63413,36890,601,3,36876,36
33155,18224,793,2,4017,60
132112,58947,596,7,45450,12
124522,44986,386,13,25934,24
68585,39387,459,16,19488,36
89044,6342,529,18,49201,48
104459,12813,455,2,42500,36
85566,53901,741,23,41258,36
84638,29574,655,25,23185,48
52266,77303,349,7,35531,60
137859,37154,311,28,48021,36
149019,62384,471,11,46390,48
66975,35448,477,10,47664,24
80766,50186,601,17,29345,60
47677,6341,676,1,38396,60
72295,39832,665,13,22588,60
114643,75831,675,17,17374,24
28267,68620,784,3,21839,60
42019,30510,510,20,30009,60
58307,30849,402,18,22615,48
46352,68888,671,4,203,48
118714,43559,603,9,14211,48
37161,14516,746,16,22260,48
43888,65461,819,30,12226,48
62504,62545,455,2,25640,12
71717,51197,433,29,29231,36
43141,50587,579,11,112,48
97592,43827,806,1,32933,24
79886,17763,633,11,6614,60
145607,56474,692,27,3630,48
79240,43243,713,1,30444,12
97615,46786,461,7,19071,48
114588,54708,537,30,18945,12
55354,26288,740,12,1141,60
91320,16046,343,10,27886,36
75990,49965,839,12,22449,36
130647,9853,814,11,44589,48
140247,74346,436,2,29894,48
79045,55460,651,30,35842,36
103603,31734,335,3,23255,24
147402,28279,501,3,35903,60
123116,32376,613,15,24123,24
109896,42430,762,13,2962,24
28436,21032,510,11,36412,60
86476,6435,430,5,24031,12
147537,54922,593,0,20466,48
67344,57326,737,12,25515,12
116387,56745,753,4,19456,12
80820,25128,372,23,10808,12
85692,41509,558,5,46448,36
99290,7198,690,22,29493,24
60773,47808,640,27,35517,48
70236,60961,701,10,26489,36
129488,9632,458,11,26400,12
46959,48303,647,27,30020,36
144181,35678,715,21,41701,48
48483,60479,460,4,31486,36
66430,21082,532,19,22439,36
59766,14184,705,15,45833,48
84031,34257,401,23,7957,60
135510,19388,623,26,3551,24
86529,44443,408,28,17359,12
141352,79038,497,21,14671,60
118396,16653,582,26,7226,12
98969,66886,644,23,18375,48
112508,44214,300,2,30746,60
84735,61397,311,25,25275,12
67642,29917,512,1,43326,36
51736,71656,400,15,16193,24
67557,68076,366,25,16402,12
145923,48088,660,12,37306,48
32543,52638,567,16,45713,60
57097,25581,411,11,26829,24
64099,55428,320,19,1363,60
85263,74172,334,8,37726,60
108460,13712,674,29,32596,36
104309,76158,592,17,13794,60
110067,17676,594,0,41153,48
79340,45600,519,11,11064,24
63044,33699,423,21,36176,60
105623,61942,781,0,82,36
120285,59756,319,21,14665,12
102505,70155,396,30,27172,24
97474,28499,737,7,25479,36
70714,68197,659,25,25500,12
91703,68416,442,26,33724,48
44738,25079,790,1,31707,12
139065,77715,441,19,2690,24
54703,5956,467,1,25517,24
79693,79744,697,14,30857,60
108613,42265,408,10,46182,36
144180,26427,525,13,20884,48
92215,37733,481,22,36487,24
109664,37413,847,16,38759,48
42955,36575,408,4,37019,12
38116,61985,723,2,7031,48
90318,76324,765,26,30949,48
73747,34711,356,23,43937,60
35627,78553,413,7,5141,60
144101,44711,547,30,48209,60
86813,69674,534,24,45619,36
108879,44282,756,3,29943,60
27200,11645,419,18,16678,60
53251,62132,731,21,32130,24
74726,62134,717,3,37275,48
115852,45998,482,14,10655,24
27695,60658,455,20,9689,60
48897,47318,586,0,45046,48
43711,28752,525,27,26935,36
108763,24256,552,1,2426,12
124157,40772,613,12,49298,60
29014,66120,765,26,32854,48
27911,6645,644,22,29315,12
142478,11469,553,20,11442,36
44870,57648,315,3,5741,24
118016,19489,794,6,10179,24
77662,69772,505,29,14296,60
125689,16694,448,5,4138,60
149046,33145,530,13,46313,48
132892,75316,703,0,25520,48
48960,54786,754,0,29504,36
80591,15488,311,5,13689,12
83871,36480,307,13,28273,12
48959,35027,632,0,29299,48
47700,66550,660,29,44435,12
130512,13717,416,15,1538,12
33415,66367,512,25,36738,12
52355,36860,549,20,3327,36
96180,77595,526,28,25939,36
90953,74274,807,12,41609,36
135078,20328,416,2,17200,36
137476,43000,692,20,38256,48
124835,76626,478,1,917,60
140386,15789,615,22,26990,12
96211,33732,604,20,33872,48
123506,19382,565,24,15438,24
33308,11640,445,9,30075,36
105738,16122,799,20,11164,48
137181,7336,538,21,16194,48
40305,38130,803,12,1629,60
54592,29058,427,20,14955,24
52751,33769,760,12,1700,60
27568,20034,633,12,34998,60
127634,44341,518,17,4594,24
