income,loan_amount,credit_score,employment_years,existing_debt,loan_term,loan_status
146958,23017,503,22,47068,24,0
40795,13702,464,8,19991,48,0
25860,5384,604,20,10775,12,1
128694,5404,796,5,12265,48,1
144879,45943,455,25,19459,60,0
135268,52926,666,29,16673,60,1
101820,34189,550,27,27056,48,0
79886,17763,633,11,6614,60,1
31265,23384,810,1,36020,24,0
107386,65100,592,2,7415,48,0
62194,14860,319,2,23155,24,0
112498,55612,581,27,49430,24,0
137727,28574,300,11,43884,36,0
69131,28524,418,14,16964,48,0
85263,74172,334,8,37726,60,0
41023,15916,497,30,37044,24,0
66090,9809,784,22,37544,36,0
92221,37201,358,7,49976,48,0
89820,58330,460,10,32252,48,0
25769,18456,505,15,3832,12,0
84735,61397,311,25,25275,12,0
87955,43765,789,26,14901,24,1
89925,39816,575,24,38213,12,0
146637,50106,541,21,34148,24,0
92969,58932,515,3,42633,60,0
30311,22100,550,27,22918,24,0
128355,62091,425,0,46694,12,0
129724,26949,516,23,19540,60,0
108104,75080,605,6,11580,12,1
78707,42744,484,1,38402,24,0
110305,50543,338,23,38578,36,0
53693,41187,522,27,24917,48,0
96932,12239,483,4,22318,12,0
118016,19489,794,6,10179,24,1
131970,63017,726,3,12251,60,1
50658,66877,477,4,45899,12,0
109478,48125,727,23,19493,12,1
147537,54922,593,0,20466,48,0
43431,37049,450,0,30206,24,0
27747,42131,683,14,45475,36,0
148855,47944,607,19,19624,60,1
84150,78963,635,18,26564,24,0
90725,29285,674,28,22412,60,1
109654,42626,307,9,27990,12,0
60773,47808,640,27,35517,48,0
144346,58871,428,17,13156,48,0
92435,24198,651,27,23064,36,1
81886,24758,657,2,25711,48,1
91803,20254,816,10,30106,12,1
56551,49238,794,14,16589,36,0
141216,6252,385,30,23736,24,0
36394,44764,474,26,20975,48,0
94092,42441,492,29,36218,36,0
28890,58682,610,10,7214,12,0
66606,64494,418,16,30581,60,0
121276,70215,517,16,20195,60,0
105038,11949,726,5,44582,12,1
112313,60393,713,4,27127,12,1
35627,78553,413,7,5141,60,0
33792,11941,444,1,28884,36,0
133859,30934,837,15,24885,60,1
133557,28386,602,19,2708,12,1
98969,66886,644,23,18375,48,1
68001,58413,300,11,15088,24,0
101552,61800,446,5,44602,48,0
48897,47318,586,0,45046,48,0
93148,75173,352,30,10014,12,0
146729,75390,603,3,3273,60,1
149243,57329,368,16,47135,36,0
145923,48088,660,12,37306,48,1
145174,44811,519,17,30881,60,0
48483,60479,460,4,31486,36,0
149358,24963,388,29,12541,48,0
73555,60123,458,23,8712,36,0
42159,78477,788,23,9168,60,0
135510,19388,623,26,3551,24,1
131530,10569,680,2,12297,60,1
105077,74836,401,10,43733,12,0
60920,41586,793,12,27128,36,1
117067,17015,318,3,2832,24,0
92121,50002,753,25,28483,36,1
94479,11254,781,26,22063,36,1
114475,22144,696,13,22963,48,1
44457,29214,578,21,13422,12,0
91557,76774,664,10,32920,36,0
102189,11090,630,26,11156,60,1
134109,16637,643,9,11108,60,1
103953,27415,754,18,31845,48,1
77995,29071,364,17,2800,12,0
65757,63243,375,5,38078,12,0
34692,46240,442,26,42712,60,0
70758,38434,772,28,2610,24,1
97409,74724,716,14,12067,48,0
96211,33732,604,20,33872,48,1
90697,16314,796,29,10728,60,1
62065,28954,590,9,29566,60,0
117093,62108,401,4,29783,24,0
124299,41668,566,25,20583,24,0
57606,28061,302,28,20238,12,0
36534,44749,384,4,7263,48,0
119663,21907,627,9,1914,48,1
65397,23777,749,27,23749,60,1
116387,56745,753,4,19456,12,1
26016,28624,520,2,25582,48,0
114789,28321,453,22,406,12,0
80591,15488,311,5,13689,12,0
114812,27574,432,3,32934,60,0
48247,10240,603,17,33276,12,0
49300,48221,592,27,36432,24,0
99065,15478,599,8,19873,24,0
107798,60645,342,16,13050,36,0
34268,24262,642,28,680,60,1
111807,57796,625,12,18908,36,1
37185,9432,797,26,18504,24,1
88704,69291,663,14,21644,36,0
111779,64399,726,29,37125,60,1
64099,55428,320,19,1363,60,0
33571,5302,706,16,42291,12,0
148372,5055,635,12,35060,48,1
130512,13717,416,15,1538,12,0
63044,33699,423,21,36176,60,0
76214,78686,698,3,41520,24,0
86228,72661,350,4,25675,24,0
139752,49247,623,4,18287,12,1
73984,21748,440,8,174,60,0
65774,9621,769,16,26732,24,1
27568,20034,633,12,34998,60,0
145151,10126,672,1,37055,24,1
87592,10122,793,12,12112,60,1
92563,23030,838,21,39874,36,1
27695,60658,455,20,9689,60,0
149375,43638,590,26,44814,60,0
73190,72067,443,22,19555,12,0
30258,39674,405,18,33919,36,0
112538,40854,719,2,7619,48,1
64504,51271,301,9,6033,12,0
58159,78688,389,1,41328,48,0
38986,43518,644,12,4946,24,0
86858,15267,649,18,24618,48,1
37666,6062,758,25,34675,60,0
63660,55448,562,16,36258,48,0
28561,11229,650,20,18919,12,0
51854,61793,407,13,4173,12,0
89505,52915,338,30,43833,48,0
129488,9632,458,11,26400,12,0
77251,8596,611,20,4769,12,1
47662,11168,540,11,37564,48,0
33392,12561,744,10,45814,36,0
55535,78794,597,6,14211,36,0
103603,31734,335,3,23255,24,0
138569,11371,383,18,27962,12,0
77256,31069,751,0,19356,48,0
114135,17910,684,27,20306,12,1
60222,78479,471,30,4997,60,0
102373,28275,675,23,17376,12,1
104575,77274,661,28,40880,12,1
148684,65004,440,2,38055,36,0
121354,67981,417,12,10578,48,0
109651,59553,576,14,18624,12,0
88335,53447,519,1,39194,36,0
35965,39529,325,10,44367,24,0
49538,22260,820,3,389,36,1
133066,8812,309,18,33767,36,0
95592,33024,677,28,45580,36,1
